PlayerName,Base.X,Base.y,Base.z,Town.x,Town.y,Town.z
Timyu,17994.0,89.0,-8085.0,198.0,87.0,-2.0
Tiny,33083.33239306669,71.0,24619.309121273134,394.0,88.0,-399.0
Token_chong,25243.427331278534,101.0,-26489.438506267084,62.0,92.0,-197.0
Trimurti,-3379.9024681709957,11.0,-36121.79310291101,423.0,95.0,-440.0
Tu_yang_tu,-35198.34109665761,54.0,-20235.985920647065,354.0,91.0,-448.0
Turing,-9240.0,64.0,17606.0,343.0,101.0,-463.0
Usami,18606.0,58.0,-7158.0,141.0,88.0,7.0
VennaVirpio,25626.286886897702,20.0,20997.91867016975,288.0,96.0,-329.0
Victor,17301,68,-11675,90,88,-167
Vinogradov,35965.597674705496,63.0,8437.006956819529,422.0,89.0,-460.0
WC,18592.0,63.0,-17530.0,234.0,92.0,-222.0
WTF,31955.30000001192,1.0,-6722.633736060062,425.0,90.0,-443.0
WYSIWYG,3544.0,66.0,926.0,336.0,91.0,-456.0
WZCZBZB,12712,64,4986,129,88,-269
Waolock,3469,70,-7484,163,87,-130
WenerW,17474.0,11.0,4735.0,187.0,87.0,-5.0
Whiteknight,-7065.0,75.0,-12661.0,418.0,84.0,-454.0
Wika,33681.41697081852,81.0,-23515.532944381946,518.0,88.0,-386.0
Wild,22104.346849266512,85.0,-28663.30000001192,402.0,89.0,-460.0
Wind_Eagle,9770.306805704762,64.0,-24437.36135415187,31.0,91.0,-207.0
Wolfcc,-8972.453814078359,22.0,31106.69999998808,87.0,88.0,-197.0
Wq530,22805.95398999725,11.0,22389.355304922792,288.0,93.0,-384.0
Wu_Yu,-14592,71,-5142,116,81,-132
XJTU_OOXX,3583.5708258987343,63.0,18828.08180375724,386.0,88.0,-272.0
XUE_ER_CHER,7702.094680745994,65.0,-20217.73449649843,538.0,88.0,-332.0
XUE_ER_DE_DI_DI,-21176.24944644887,74.0,8394.992197730597,213.0,87.0,-218.0
XXX,-5550.236521860238,64.0,35401.719228055365,312.0,90.0,-312.0
XYZ670,-27542.635657790357,64.0,2131.794781515965,327.0,91.0,-349.0
X_J_D,26010.58492128157,63.0,-25362.570992107263,470.0,88.0,-421.0
Xe_Kr,-32673.86942996906,73.0,-29700.60166908601,292.0,94.0,-329.0
Xiao_Sao,-13486.699999988079,11.0,-1275.8582071503085,537.0,88.0,-368.0
Xiaolin,-12998.0,62.0,-6932.0,142.0,88.0,-73.0
Xinse233,-973.0,73.0,-14648.0,442.0,85.0,-468.0
XuanQing_23455,23816.721203198555,64.0,14875.672945089647,341.0,90.0,-301.0
YGuang___,3352.439796018401,65.0,14187.904560967407,554.0,88.0,-332.0
YOHO,25723.0,67.0,623.0,226.0,89.0,-277.0
YYYZ,24829.265908125995,73.0,-12630.58626322609,246.0,87.0,-147.0
YYtx,31215.0,75.0,27807.0,167.0,91.0,-255.0
YeLu,23833.30000001192,60.0,-18704.289929036593,247.0,87.0,-204.0
Yezi_YK,-6877.0,74.0,9535.0,320.0,101.0,-459.0
